XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
710.767024,94.877125
711.731430,94.859394
712.695835,94.830196
713.660241,94.790889
714.624647,94.696404
715.589053,94.543831
716.553458,94.358370
717.517864,94.143623
718.482270,93.952591
719.446675,93.857383
720.411081,93.872832
721.375487,93.958001
722.339893,94.071335
723.304298,94.209462
724.268704,94.376832
725.233110,94.545988
726.197516,94.706550
727.161921,94.887297
728.126327,95.090191
729.090733,95.305384
730.055139,95.520207
731.019544,95.706474
731.983950,95.848406
732.948356,95.908825
733.912761,95.874382
734.877167,95.762204
735.841573,95.596503
736.805979,95.422539
737.770384,95.168701
738.734790,94.880666
739.699196,94.787769
740.663602,94.816246
741.628007,94.829689
742.592413,94.894022
743.556819,95.008417
744.521224,95.173273
745.485630,95.381073
746.450036,95.594531
747.414442,95.831090
748.378847,96.083565
749.343253,96.342634
750.307659,96.571327
751.272065,96.726028
752.236470,96.828976
753.200876,96.900674
754.165282,96.946813
755.129688,96.963903
756.094093,96.957757
757.058499,96.946635
758.022905,96.936810
758.987310,96.921267
759.951716,96.872549
760.916122,96.796326
761.880528,96.712640
762.844933,96.617460
763.809339,96.523535
764.773745,96.427656
765.738151,96.311554
766.702556,96.179091
767.666962,96.050577
768.631368,95.953167
769.595773,95.867404
770.560179,95.772076
771.524585,95.715357
772.488991,95.708892
773.453396,95.702285
774.417802,95.682775
775.382208,95.671359
776.346614,95.675350
777.311019,95.677849
778.275425,95.655325
779.239831,95.622535
780.204237,95.613456
781.168642,95.602890
782.133048,95.570975
783.097454,95.551046
784.061859,95.536575
785.026265,95.526693
785.990671,95.524221
786.955077,95.509848
787.919482,95.529432
788.883888,95.579328
789.848294,95.619745
790.812700,95.688132
791.777105,95.767307
792.741511,95.823459
793.705917,95.893205
794.670323,95.982525
795.634728,96.065574
796.599134,96.136034
797.563540,96.200394
798.527945,96.268630
799.492351,96.327361
800.456757,96.360724
801.421163,96.394614
802.385568,96.435236
803.349974,96.472730
804.314380,96.520918
805.278786,96.558458
806.243191,96.577034
807.207597,96.612342
808.172003,96.671773
809.136408,96.738443
810.100814,96.791180
811.065220,96.827708
812.029626,96.886476
812.994031,96.976316
813.958437,97.016398
814.922843,96.981096
815.887249,96.982625
816.851654,97.045403
817.816060,97.081469
818.780466,97.105172
819.744872,97.161963
820.709277,97.215595
821.673683,97.250203
822.638089,97.295477
823.602494,97.367679
824.566900,97.450839
825.531306,97.528203
826.495712,97.612680
827.460117,97.690328
828.424523,97.742856
829.388929,97.789205
830.353335,97.832742
831.317740,97.877320
832.282146,97.915679
833.246552,97.944684
834.210957,97.984112
835.175363,98.000997
836.139769,97.998268
837.104175,98.017244
838.068580,98.028987
839.032986,98.028632
839.997392,98.026991
840.961798,98.011908
841.926203,98.012319
842.890609,98.032906
843.855015,98.042793
844.819421,98.041754
845.783826,98.041191
846.748232,98.045878
