XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
710.767024,92.866154
711.731430,92.836244
712.695835,92.757506
713.660241,92.677553
714.624647,92.568428
715.589053,92.429598
716.553458,92.242867
717.517864,92.025474
718.482270,91.857649
719.446675,91.813189
720.411081,91.886153
721.375487,91.980234
722.339893,92.080640
723.304298,92.231963
724.268704,92.415642
725.233110,92.615502
726.197516,92.838607
727.161921,93.082398
728.126327,93.335927
729.090733,93.563494
730.055139,93.772275
731.019544,94.007734
731.983950,94.200503
732.948356,94.282407
733.912761,94.258386
734.877167,94.113874
735.841573,93.873549
736.805979,93.562646
737.770384,93.301362
738.734790,93.185346
739.699196,93.069780
740.663602,92.959471
741.628007,92.969297
742.592413,93.058199
743.556819,93.220225
744.521224,93.456035
745.485630,93.724031
746.450036,94.010958
747.414442,94.320694
748.378847,94.645741
749.343253,94.955685
750.307659,95.217258
751.272065,95.395448
752.236470,95.507819
753.200876,95.597855
754.165282,95.660763
755.129688,95.679868
756.094093,95.673901
757.058499,95.686824
758.022905,95.703547
758.987310,95.679208
759.951716,95.622638
760.916122,95.540391
761.880528,95.421588
762.844933,95.300819
763.809339,95.199770
764.773745,95.076997
765.738151,94.930481
766.702556,94.777940
767.666962,94.614987
768.631368,94.476516
769.595773,94.377408
770.560179,94.292457
771.524585,94.227401
772.488991,94.210710
773.453396,94.226708
774.417802,94.237312
775.382208,94.259271
776.346614,94.296318
777.311019,94.309263
778.275425,94.296741
779.239831,94.294166
780.204237,94.322925
781.168642,94.356162
782.133048,94.363748
783.097454,94.363465
784.061859,94.391691
785.026265,94.455020
785.990671,94.518432
786.955077,94.588483
787.919482,94.692430
788.883888,94.794961
789.848294,94.908263
790.812700,95.070125
791.777105,95.250510
792.741511,95.441083
793.705917,95.629386
794.670323,95.789015
795.634728,95.953737
796.599134,96.133532
797.563540,96.291897
798.527945,96.420494
799.492351,96.530500
800.456757,96.623473
801.421163,96.693268
802.385568,96.749388
803.349974,96.803635
804.314380,96.846592
805.278786,96.884968
806.243191,96.923809
807.207597,96.948631
808.172003,96.977729
809.136408,97.017166
810.100814,97.043688
811.065220,97.062868
812.029626,97.071268
812.994031,97.073539
813.958437,97.109521
814.922843,97.163888
815.887249,97.191071
816.851654,97.185766
817.816060,97.161859
818.780466,97.155518
819.744872,97.164375
820.709277,97.154520
821.673683,97.155465
822.638089,97.171893
823.602494,97.185163
824.566900,97.208565
825.531306,97.212353
826.495712,97.198575
827.460117,97.207547
828.424523,97.218983
829.388929,97.216027
830.353335,97.218289
831.317740,97.229814
832.282146,97.230258
833.246552,97.220071
834.210957,97.221939
835.175363,97.228978
836.139769,97.224396
837.104175,97.216556
838.068580,97.221880
839.032986,97.231211
839.997392,97.221432
840.961798,97.198647
841.926203,97.179565
842.890609,97.171615
843.855015,97.167436
844.819421,97.147472
845.783826,97.128492
846.748232,97.125733
